Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,BDR1-FAB1,Ethernet1,spine,SPN1-FAB1,Ethernet1,True
l3leaf,BDR1-FAB1,Ethernet2,spine,SPN2-FAB1,Ethernet1,True
l3leaf,BDR1-FAB1,Ethernet3,l3leaf,BDR1-FAB2,Ethernet3,True
l3leaf,BDR1-FAB1,Ethernet7,mlag_peer,BDR2-FAB1,Ethernet7,True
l3leaf,BDR1-FAB1,Ethernet8,mlag_peer,BDR2-FAB1,Ethernet8,True
l3leaf,BDR1-FAB2,Ethernet1,spine,SPN1-FAB2,Ethernet1,True
l3leaf,BDR1-FAB2,Ethernet2,spine,SPN2-FAB2,Ethernet1,True
l3leaf,BDR1-FAB2,Ethernet3,l3leaf,BDR1-FAB1,Ethernet3,True
l3leaf,BDR1-FAB2,Ethernet7,mlag_peer,BDR2-FAB2,Ethernet7,True
l3leaf,BDR1-FAB2,Ethernet8,mlag_peer,BDR2-FAB2,Ethernet8,True
l3leaf,BDR2-FAB1,Ethernet1,spine,SPN1-FAB1,Ethernet2,True
l3leaf,BDR2-FAB1,Ethernet2,spine,SPN2-FAB1,Ethernet2,True
l3leaf,BDR2-FAB1,Ethernet3,l3leaf,BDR2-FAB2,Ethernet3,True
l3leaf,BDR2-FAB1,Ethernet7,mlag_peer,BDR1-FAB1,Ethernet7,True
l3leaf,BDR2-FAB1,Ethernet8,mlag_peer,BDR1-FAB1,Ethernet8,True
l3leaf,BDR2-FAB2,Ethernet1,spine,SPN1-FAB2,Ethernet2,True
l3leaf,BDR2-FAB2,Ethernet2,spine,SPN2-FAB2,Ethernet2,True
l3leaf,BDR2-FAB2,Ethernet3,l3leaf,BDR2-FAB1,Ethernet3,True
l3leaf,BDR2-FAB2,Ethernet7,mlag_peer,BDR1-FAB2,Ethernet7,True
l3leaf,BDR2-FAB2,Ethernet8,mlag_peer,BDR1-FAB2,Ethernet8,True
